FROST DATA CSV ,,,,,,,,,,,,,,,,
"Populates TOC , TPC, TPC Canada daily cash reports",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Post Date,Bank ID,Account Number,Account Name,Transaction Description,Status,Debit/Credit, Amount ,Bank Reference,Customer Reference,Transaction Detail,BAI Code,Type,Additional Information,Currency,Image,Advice Reference
2/20/2026,114000093,502699869,TPC Canada - USD,ZBA DEBIT TRANSFER,Cleared,Debit,"($29,742.13)",,,TRANSFER TO CHECKING ACCT   0502699826,577,ZBA,,USD,,
2/20/2026,114000093,502699869,TPC Canada - USD,OUTGOING MONEY TRANSFER,Cleared,Debit,"($6,784.48)",,,FROST BANK      WIRE OUT  26022004017/                     SENDER=TAUBER PETROCHEMICAL CANADA ULC/                                      BENE=CANADIAN PACIFIC RAILWAY/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699869,TPC Canada - USD,ELECTRONIC DEBIT,Cleared,Debit,"($232,486.16)",,,TAUBER PETROCHEMPAYABLE   260220-SETT-,451,MISCELLANEOUS,,USD,,
2/20/2026,114000093,502699869,TPC Canada - USD,INCOMING MONEY TRANSFER,Cleared,Credit,"$221,190.00 ",,,FROST BANK      WIRE IN   26022001084/                     SENDER=1 Tauber Oil Company/                                                 BENE=TAUBER PETROCHEMICAL CANADA ULC/,195,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699869,TPC Canada - USD,ACH CREDIT RECEIVED,Cleared,Credit,"$47,822.77 ",,,SECURESPECIALITYBILL PYMT 260219V005718,142,ACH,,USD,,
,,,,,,,,,,,,,,,,
2/20/2026,114000093,502699826,TOC Operating,ZBA DEBIT TRANSFER,Cleared,Debit,"($2,087,489.59)",,,TRANSFER TO CHECKING ACCT   0502699737,577,ZBA,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ZBA DEBIT TRANSFER,Cleared,Debit,"($1,905,190.02)",,,TRANSFER TO CHECKING ACCT   0502699745,577,ZBA,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($3,694,344.17)",,,FROST BANK      WIRE OUT  26022006184/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=BP PRODUCTS NORTH AMERICA INC./,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($1,250,000.00)",,,FROST BANK      WIRE OUT  26022003412/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=SHELL TRADING  US  COMPANY/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($1,022,425.00)",,,FROST BANK      WIRE OUT  26022005802/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=Newedge USA LLC/                                                        ORIG TO BNF INFO=039 89014  580 000.00/                                       039 89026  100 000.00/                                                        039 89030  342 425.00/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($494,676.00)",,,FROST BANK      WIRE OUT  26022006185/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=BP PRODUCTS NORTH AMERICA INC./,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($305,196.40)",,,FROST BANK      WIRE OUT  26022003410/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=TOTALENERGIES PETROCHEMICALS AND RE/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($264,798.17)",,,FROST BANK      WIRE OUT  26022003653/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=ELBOW RIVER MARKETING  LTD/                                             ORIG TO BNF INFO=INVOICEERM275365 PRODUCT  SLURRY  F/                           UEL OIL  TRANS  12989  INST  002/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,ELECTRONIC DEBIT,Cleared,Debit,"($131,244.83)",,,FLINT HILLS RESOCORP PYMNT      111000011137648,451,MISCELLANEOUS,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($79,687.80)",,,FROST BANK      WIRE OUT  26022003413/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=MARATHON PETROLEUM COMPANY LP/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($30,875.00)",,,FROST BANK      WIRE OUT  26022003411/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=SHORE TERMINALS LLC/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($30,000.00)",,,FROST BANK      WIRE OUT  26022006183/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=SPACE AGE FUEL  INC/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($28,931.71)",,,FROST BANK      WIRE OUT  26022003414/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=ASPHALT FUEL AND SUPPLY  LLC/,495,MONEY TRANSFER,,USD,,
2/20/2026,114000093,502699826,TOC Operating,OUTGOING MONEY TRANSFER,Cleared,Debit,"($8,360.00)",,,FROST BANK      WIRE OUT  26022005800/                     SENDER=TAUBER OIL COMPANY/                                                   BENE=Marex Capital Markets Inc./                                             ORIG TO BNF INFO=11461001 NGL  8 360.00/,495,MONEY TRANSFER,,USD,,
